ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,pmra,pmdec,radial_velocity,radial_velocity_error,mh_gspphot,ruwe,phot_bp_rp_excess_factor,distance_pc,M_G,color,pm_total,v_t,iso_label,iso_score,stability
171.80987737943448,-12.086809574893952,7.191948381963115,0.022493383,319.73618,13.987773,14.809981,12.990531,1.8194504,4150.484,80.77308417540777,31.038118561648464,0.0791312,3.1172297,-0.2847,1.2088606,1.394735,139.04437947690607,8.272005808594557,1.8194504,86.53124251421828,57.030177044379435,-1,-0.040927083712975154,1.0
88.83105887052048,13.548943405272674,8.529614872196044,0.027371017,311.62946,14.496056,15.714214,13.398944,2.3152704,3663.689,30.145566649225604,-41.55845921307802,79.80503,5.681099,0.0869,1.2105252,1.3924226,117.23858755448579,9.15070311207674,2.3152704,51.340634206912284,28.530550298821396,-1,-0.01700080907570989,1.0
234.86833853579665,74.65713259547556,0.9400195112555878,0.013470939,69.78129,14.031533,14.285143,13.618168,0.666975,6362.827,-71.86002994787322,13.49500105886487,-132.31467,5.491738,-1.554,0.93421626,1.1901181,1063.8077061446268,3.897217340034109,0.666975,73.1162017454955,368.684683800587,-1,-0.012157003247256992,0.98
251.0976069392508,-56.96010035986672,11.304311485078196,0.012926726,874.49146,12.686421,13.5849085,11.753894,1.8310146,4135.3413,-35.37191646771424,-99.37431063079272,6.3970594,1.1404586,0.151,0.9369518,1.3106368,88.46182284697392,7.952641578945478,1.8310146,105.4818756372119,44.22950404191962,-1,-0.055374834055061495,1.0
288.806353224722,82.02811681297106,8.571521114358683,0.021514589,398.40506,14.860426,16.243525,13.704214,2.5393105,3563.3965,-43.16471331705408,-42.94664586126856,-33.72362,3.2696629,0.0944,1.1759951,1.423821,116.66540706816184,9.52571549640264,2.5393105,60.89012125523057,33.671873509861534,-1,-0.0549067012827098,1.0
261.153898420287,-62.16252591686126,9.406786680661767,0.019701768,477.459,14.156753,15.256556,13.115742,2.1408138,3763.212,52.694229878162986,-24.775180902413076,-8.642521,2.5149794,-0.0971,0.99746346,1.3613932,106.30622697714348,9.023959477825368,2.1408138,58.227926729362245,29.3405582657223,-1,-0.01344173285582495,1.0
346.9667582183557,26.85576486361678,11.48592747665444,0.022474853,511.05685,14.446041,15.62406,13.37038,2.2536793,3619.0928,-36.02476515446429,17.65704049958199,11.243388,2.568337,-0.6336,1.0469966,1.3786961,87.06306060459949,9.746871348865461,2.2536793,40.119257017524426,16.55637114630782,-1,-0.03550399069382337,1.0
214.36227435011307,2.153427172348346,9.299130571621331,0.026583182,349.81253,15.0034685,16.34662,13.862966,2.483655,3543.345,-53.70699525308945,-17.184278509290998,-19.975376,4.2483673,-0.1393,1.0698601,1.4138871,107.53693501753325,9.84568022900724,2.483655,56.38919016088326,28.742984013825364,-1,-0.05481348362236349,1.0
198.1770014718493,-2.0539659051226864,8.468104435012771,0.026862929,315.23386,14.533138,15.79642,13.421311,2.3751087,3620.8892,8.861564474431773,19.16989455876909,0.5772341,3.637908,-0.0247,1.1553315,1.3985857,118.0901827173193,9.172069027127804,2.3751087,21.11900050496794,11.821307018800018,-1,-0.009887686328224232,1.0
329.56128077961404,-8.424891228321016,1.8977611058093664,0.025148936,75.46089,14.228885,14.604586,13.680741,0.92384434,5484.3027,-14.888134870179794,-106.54922682483216,-73.787155,3.9224753,-0.7297,1.0115356,1.2104641,526.9367134455605,5.620092708110114,0.92384434,107.58435897881344,268.71130407222137,-1,-0.030417608309748156,1.0
16.12722643169874,2.390219732515612,7.482474969275634,0.029803777,251.05794,10.25524,10.566989,9.771468,0.7955208,5696.7217,93.31190780022818,41.263630908524895,13.548411,0.23078462,-0.4827,1.2936871,1.2014502,133.64561914422393,4.625466363462479,0.7955208,102.0284243388736,64.63299020071148,-1,-0.023274178715451233,1.0
159.82872414636526,15.979266838396848,20.903049825015877,0.023766035,879.53455,14.4912,15.928652,13.3151245,2.6135273,3202.4136,221.51477060796813,-129.20693391178128,-20.692314,6.0028753,-1.0659,1.126879,1.4364581,47.83990893057351,11.09224827877162,2.6135273,256.4434155293993,58.151408516217785,-1,-0.11687655595142243,1.0
247.0074505526605,-33.0594298957876,12.446468178396216,0.020965226,593.672,13.888916,15.287217,12.727826,2.559391,3464.2517,-5.535817219660187,-93.32911032994052,15.206487,10.01326,-0.5837,1.1835195,1.4264975,80.34407718454108,9.364146665497547,2.559391,93.49314470734042,35.60508085996621,-1,-0.0567823099906436,1.0
218.5527004866776,-19.54583273746551,9.600593342653868,0.04407418,217.82806,14.987824,16.260683,13.864376,2.396307,3580.771,-69.0380345524701,-30.613477326952648,-37.586536,6.68628,-0.4308,1.1064874,1.4092097,104.16022888472563,9.899314372217354,2.396307,75.52109115284219,37.286234224094244,-1,-0.05753696921005824,1.0
38.65602088417816,-86.97926291435061,6.800622442636546,0.022115901,307.4992,15.174208,16.44766,14.056791,2.3908691,3551.9768,94.33531332007236,-5.778986587484905,7.1698756,4.6730943,-0.34,1.0361168,1.4025224,147.0453636317896,9.336951321642204,2.3908691,94.51215808124662,65.87450385371311,-1,-0.002377574600266885,1.0
98.53517361915868,25.329991425580587,10.121082012487696,0.015283156,662.2377,13.548737,14.5174,12.57479,1.9426098,3752.445,-18.04587755917579,27.722308240088417,73.01188,1.6639533,-0.4857,1.1359384,1.3294321,98.80366533599569,8.574871720094723,1.9426098,33.078392812215625,15.491582988503392,-1,-0.014448384995034758,1.0
217.01721605603925,-67.67123656933838,10.254056398466837,0.027546972,372.23898,15.380173,16.859886,14.195534,2.6643524,3438.2815,-73.20056179679999,3.647303195326903,45.275726,3.0920753,-0.1414,0.9519346,1.438937,97.5223814986543,10.43465150889794,2.6643524,73.29137103347007,33.87938248034122,-1,-0.053047947180628774,1.0
